content :  w3schools.com , link :  http://www.w3schools.com
content :  Store a name permanently , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_webstorage_local
content :  Store a counter permanently , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_webstorage_local_clickcount
content :  Store a counter for one session , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_webstorage_session
content :  Examples explained , link :  http://www.w3schools.com/html5_webstorage.asp
content :  HTML5 drag and drop , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_draganddrop
content :  HTML5 application cache , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_html_manifest
content :  HTML5 web workers , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_webworker
content :  HTML5 server sent events , link :  http://www.w3schools.com/tryit.asp?filename=tryhtml5_sse
content :  « Previous , link :  http://www.w3schools.com/html5_serversentevents.asp
content :  Next Chapter » , link :  http://www.w3schools.com/html_quiz.asp
content :  HTML, CSS, JavaScript, PHP, jQuery, Bootstrap and XML Certifications , link :  http://www.w3schools.com/cert/default.asp
content :  None , link :  http://www.w3schools.com/colors/colors_picker.asp
content :  Color Converter , link :  http://www.w3schools.com/colors/colors_converter.asp
content :  Google Maps , link :  http://www.w3schools.com/howto/howto_google_maps.asp
content :  Animated Buttons , link :  http://www.w3schools.com/howto/howto_css_animate_buttons.asp
content :  Modal Boxes , link :  http://www.w3schools.com/howto/howto_css_modals.asp
content :  Modal Images , link :  http://www.w3schools.com/howto/howto_css_modal_images.asp
content :  Tooltips , link :  http://www.w3schools.com/howto/howto_css_tooltip.asp
content :  Loaders , link :  http://www.w3schools.com/howto/howto_css_loader.asp
content :  JS Animations , link :  http://www.w3schools.com/howto/howto_js_animate.asp
content :  Progress Bars , link :  http://www.w3schools.com/howto/howto_js_progressbar.asp
content :  Dropdowns , link :  http://www.w3schools.com/howto/howto_js_dropdown.asp
content :  Slideshow , link :  http://www.w3schools.com/howto/howto_js_slideshow.asp
content :  Side Navigation , link :  http://www.w3schools.com/howto/howto_js_sidenav.asp
content :  HTML Includes , link :  http://www.w3schools.com/howto/howto_html_include.asp
content :  Color Palettes , link :  http://www.w3schools.com/w3css/w3css_color_palettes.asp
content :  PRINT PAGE , link :  http://www.w3schools.com/
content :  FORUM , link :  http://www.w3schools.com/forum/default.asp
content :  ABOUT , link :  http://www.w3schools.com/about/default.asp
content :  HTML Tutorial , link :  http://www.w3schools.com/html/default.asp
content :  CSS Tutorial , link :  http://www.w3schools.com/css/default.asp
content :  JavaScript Tutorial , link :  http://www.w3schools.com/js/default.asp
content :  W3.CSS Tutorial , link :  http://www.w3schools.com/w3css/default.asp
content :  Bootstrap Tutorial , link :  http://www.w3schools.com/bootstrap/default.asp
content :  SQL Tutorial , link :  http://www.w3schools.com/sql/default.asp
content :  PHP Tutorial , link :  http://www.w3schools.com/php/default.asp
content :  jQuery Tutorial , link :  http://www.w3schools.com/jquery/default.asp
content :  Angular Tutorial , link :  http://www.w3schools.com/angular/default.asp
content :  XML Tutorial , link :  http://www.w3schools.com/xml/default.asp
content :  HTML Reference , link :  http://www.w3schools.com/tags/default.asp
content :  CSS Reference , link :  http://www.w3schools.com/cssref/default.asp
content :  JavaScript Reference , link :  http://www.w3schools.com/jsref/default.asp
content :  W3.CSS Reference , link :  http://www.w3schools.com/w3css/w3css_references.asp
content :  Browser Statistics , link :  http://www.w3schools.com/browsers/default.asp
content :  PHP Reference , link :  http://www.w3schools.com/php/php_ref_array.asp
content :  HTML Colors , link :  http://www.w3schools.com/colors/colors_names.asp
content :  HTML Character Sets , link :  http://www.w3schools.com/charsets/default.asp
content :  jQuery Reference , link :  http://www.w3schools.com/jquery/jquery_ref_selectors.asp
content :  AngularJS Reference , link :  http://www.w3schools.com/angular/angular_ref_directives.asp
content :  HTML Examples , link :  http://www.w3schools.com/html/html_examples.asp
content :  CSS Examples , link :  http://www.w3schools.com/css/css_examples.asp
content :  JavaScript Examples , link :  http://www.w3schools.com/js/js_examples.asp
content :  W3.CSS Examples , link :  http://www.w3schools.com/w3css/w3css_examples.asp
content :  HTML DOM Examples , link :  http://www.w3schools.com/js/js_dom_examples.asp
content :  PHP Examples , link :  http://www.w3schools.com/php/php_examples.asp
content :  jQuery Examples , link :  http://www.w3schools.com/jquery/jquery_examples.asp
content :  ASP Examples , link :  http://www.w3schools.com/asp/asp_examples.asp
content :  XML Examples , link :  http://www.w3schools.com/xml/xml_examples.asp
content :  SVG Examples , link :  http://www.w3schools.com/svg/svg_examples.asp
content :  HTML Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  HTML5 Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  CSS Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  JavaScript Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  jQuery Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  PHP Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  Bootstrap Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  XML Certificate , link :  http://www.w3schools.com/cert/default.asp
content :  terms of use , link :  http://www.w3schools.com/about/about_copyright.asp
content :  cookie and privacy policy , link :  http://www.w3schools.com/about/about_privacy.asp
content :  Copyright 1999-2016 , link :  http://www.w3schools.com/about/about_copyright.asp
content :  Powered by W3.CSS , link :  http://www.w3schools.com/w3css/
content :  None , link :  http://www.w3schools.com
content :  Learn HTML , link :  http://www.w3schools.com/html/default.asp
content :  Learn CSS , link :  http://www.w3schools.com/css/default.asp
content :  Learn W3.CSS , link :  http://www.w3schools.com/w3css/default.asp
content :  Learn Colors , link :  http://www.w3schools.com/colors/default.asp
content :  Learn Bootstrap , link :  http://www.w3schools.com/bootstrap/default.asp
content :  Learn JavaScript , link :  http://www.w3schools.com/js/default.asp
content :  Learn jQuery , link :  http://www.w3schools.com/jquery/default.asp
content :  Learn jQueryMobile , link :  http://www.w3schools.com/jquerymobile/default.asp
content :  Learn AppML , link :  http://www.w3schools.com/appml/default.asp
content :  Learn AngularJS , link :  http://www.w3schools.com/angular/default.asp
content :  Learn AJAX , link :  http://www.w3schools.com/ajax/default.asp
content :  Learn JSON , link :  http://www.w3schools.com/json/default.asp
content :  Learn Canvas , link :  http://www.w3schools.com/canvas/default.asp
content :  Learn SVG , link :  http://www.w3schools.com/svg/default.asp
content :  Learn Icons , link :  http://www.w3schools.com/icons/default.asp
content :  Learn Google Maps , link :  http://www.w3schools.com/googleapi/default.asp
content :  Learn HTML Games , link :  http://www.w3schools.com/games/default.asp
content :  Learn SQL , link :  http://www.w3schools.com/sql/default.asp
content :  Learn PHP , link :  http://www.w3schools.com/php/default.asp
content :  Learn ASP , link :  http://www.w3schools.com/asp/default.asp
content :  Learn ASP.NET , link :  http://www.w3schools.com/aspnet/default.asp
content :  Web Building , link :  http://www.w3schools.com/website/default.asp
content :  Web Statistics , link :  http://www.w3schools.com/browsers/default.asp
content :  Web Certificates , link :  http://www.w3schools.com/cert/default.asp
content :  Learn XML , link :  http://www.w3schools.com/xml/default.asp
content :  Learn XSLT , link :  http://www.w3schools.com/xsl/default.asp
content :  HTML Tag Reference , link :  http://www.w3schools.com/tags/default.asp
content :  HTML Event Reference , link :  http://www.w3schools.com/tags/ref_eventattributes.asp
content :  HTML Color Reference , link :  http://www.w3schools.com/colors/default.asp
content :  CSS Reference , link :  http://www.w3schools.com/cssref/default.asp
content :  CSS Selector Reference , link :  http://www.w3schools.com/cssref/css_selectors.asp
content :  W3.CSS Reference , link :  http://www.w3schools.com/w3css/w3css_references.asp
content :  Bootstrap Reference , link :  http://www.w3schools.com/bootstrap/bootstrap_ref_css_text.asp
content :  JavaScript Reference , link :  http://www.w3schools.com/jsref/default.asp
content :  HTML DOM Reference , link :  http://www.w3schools.com/jsref/default.asp
content :  jQuery Reference , link :  http://www.w3schools.com/jquery/jquery_ref_selectors.asp
content :  jQuery Mobile Reference , link :  http://www.w3schools.com/jquerymobile/jquerymobile_ref_data.asp
content :  AngularJS Reference , link :  http://www.w3schools.com/angular/angular_ref_directives.asp
content :  Google Maps Reference , link :  http://www.w3schools.com/googleAPI/google_maps_ref.asp
content :  PHP Reference , link :  http://www.w3schools.com/php/php_ref_array.asp
content :  SQL Reference , link :  http://www.w3schools.com/sql/sql_quickref.asp
content :  ASP Reference , link :  http://www.w3schools.com/asp/asp_ref_response.asp
content :  Razor Reference , link :  http://www.w3schools.com/aspnet/webpages_ref_classes.asp
content :  ASP.NET Reference , link :  http://www.w3schools.com/aspnet/aspnet_refhtmlcontrols.asp
content :  XML Reference , link :  http://www.w3schools.com/xml/dom_nodetype.asp
content :  XSLT Reference , link :  http://www.w3schools.com/xsl/xsl_w3celementref.asp
content :  XML Schema Reference , link :  http://www.w3schools.com/xml/schema_elements_ref.asp
content :  SVG Reference , link :  http://www.w3schools.com/svg/svg_reference.asp
content :  HTML Character Sets , link :  http://www.w3schools.com/charsets/default.asp
content :  HTML ASCII , link :  http://www.w3schools.com/charsets/ref_html_ascii.asp
content :  HTML ANSI , link :  http://www.w3schools.com/charsets/ref_html_ansi.asp
content :  HTML Windows-1252 , link :  http://www.w3schools.com/charsets/ref_html_ansi.asp
content :  HTML ISO-8859-1 , link :  http://www.w3schools.com/charsets/ref_html_8859.asp
content :  HTML Symbols , link :  http://www.w3schools.com/charsets/ref_html_symbols.asp
content :  HTML UTF-8 , link :  http://www.w3schools.com/charsets/ref_html_utf8.asp
content :  HTML Examples , link :  http://www.w3schools.com/html/html_examples.asp
content :  CSS Examples , link :  http://www.w3schools.com/css/css_examples.asp
content :  W3.CSS Examples , link :  http://www.w3schools.com/w3css/w3css_examples.asp
content :  JavaScript Examples , link :  http://www.w3schools.com/js/js_examples.asp
content :  HTML DOM Examples , link :  http://www.w3schools.com/js/js_dom_examples.asp
content :  jQuery Examples , link :  http://www.w3schools.com/jquery/jquery_examples.asp
content :  jQuery Mobile Examples , link :  http://www.w3schools.com/jquerymobile/jquerymobile_examples.asp
content :  AngularJS Examples , link :  http://www.w3schools.com/angular/angular_examples.asp
content :  AJAX Examples , link :  http://www.w3schools.com/ajax/ajax_examples.asp
content :  PHP Examples , link :  http://www.w3schools.com/php/php_examples.asp
content :  ASP Examples , link :  http://www.w3schools.com/asp/asp_examples.asp
content :  Razor Examples , link :  http://www.w3schools.com/aspnet/webpages_examples.asp
content :  .NET Examples , link :  http://www.w3schools.com/aspnet/aspnet_examples.asp
content :  XML Examples , link :  http://www.w3schools.com/xml/xml_examples.asp
content :  XSL Examples , link :  http://www.w3schools.com/xsl/xsl_examples.asp
content :  XSLT Examples , link :  http://www.w3schools.com/xsl/xsl_examples.asp
content :  XPath Examples , link :  http://www.w3schools.com/xsl/xpath_examples.asp
content :  XML Schema Examples , link :  http://www.w3schools.com/xml/schema_example.asp
content :  SVG Examples , link :  http://www.w3schools.com/svg/svg_examples.asp
